"location","lat","long","alt","year","bloom_date","bloom_doy","DaysSub0","DecDaysSub0","FirstSub0","FirstDecSub0","SeqSub0","JanSeqSub0","DaysAbove20","ConsecTMinSub0","TMinSub0","JanPrecipDays"
"washingtondc",38.8853496,-77.0386278,0,1951,"1951-04-06",96,4,NA,330,NA,1,1,78,24,111,10
"washingtondc",38.8853496,-77.0386278,0,1952,"1952-04-09",100,2,1,362,362,1,1,77,28,138,12
"washingtondc",38.8853496,-77.0386278,0,1953,"1953-03-27",86,1,1,351,351,1,0,23,18,97,13
"washingtondc",38.8853496,-77.0386278,0,1954,"1954-04-06",96,3,0,12,NA,3,3,86,15,124,4
"washingtondc",38.8853496,-77.0386278,0,1955,"1955-04-02",92,7,1,352,352,3,3,76,43,122,3
"washingtondc",38.8853496,-77.0386278,0,1956,"1956-04-06",97,2,1,355,355,1,1,70,46,153,8
"washingtondc",38.8853496,-77.0386278,0,1957,"1957-04-08",98,5,1,355,355,4,4,71,43,144,11
"washingtondc",38.8853496,-77.0386278,0,1958,"1958-04-18",108,6,0,4,NA,3,1,57,96,149,6
"washingtondc",38.8853496,-77.0386278,0,1959,"1959-04-06",96,6,1,346,346,2,2,80,50,139,5
"washingtondc",38.8853496,-77.0386278,0,1960,"1960-04-14",105,8,4,341,341,2,0,73,45,141,9
"washingtondc",38.8853496,-77.0386278,0,1961,"1961-04-02",92,11,0,20,NA,6,6,72,49,147,5
"washingtondc",38.8853496,-77.0386278,0,1962,"1962-04-07",97,11,3,347,347,3,3,74,44,144,7
"washingtondc",38.8853496,-77.0386278,0,1963,"1963-04-03",93,7,0,1,NA,2,2,73,51,147,7
"washingtondc",38.8853496,-77.0386278,0,1964,"1964-04-11",102,9,6,345,345,4,3,70,37,146,7
"washingtondc",38.8853496,-77.0386278,0,1965,"1965-04-15",105,12,6,351,351,3,3,64,38,154,8
"washingtondc",38.8853496,-77.0386278,0,1966,"1966-04-05",95,5,0,25,NA,3,3,63,38,145,6
"washingtondc",38.8853496,-77.0386278,0,1967,"1967-04-06",96,4,0,19,NA,1,1,71,19,148,4
"washingtondc",38.8853496,-77.0386278,0,1968,"1968-03-30",90,8,0,2,NA,2,2,76,38,150,7
"washingtondc",38.8853496,-77.0386278,0,1969,"1969-04-09",99,1,0,5,NA,1,1,73,46,135,9
"washingtondc",38.8853496,-77.0386278,0,1970,"1970-04-16",106,12,2,360,360,5,5,59,72,157,8
"washingtondc",38.8853496,-77.0386278,0,1971,"1971-04-08",98,10,1,359,359,4,3,73,43,152,7
"washingtondc",38.8853496,-77.0386278,0,1972,"1972-04-11",102,3,0,16,NA,1,1,82,34,141,14
"washingtondc",38.8853496,-77.0386278,0,1973,"1973-04-11",101,7,0,7,NA,3,3,60,27,132,6
"washingtondc",38.8853496,-77.0386278,0,1974,"1974-04-03",93,3,1,352,352,1,1,79,29,138,15
"washingtondc",38.8853496,-77.0386278,0,1975,"1975-04-03",93,4,2,352,352,2,1,58,59,158,13
"washingtondc",38.8853496,-77.0386278,0,1976,"1976-03-23",83,8,0,5,NA,3,3,90,55,132,14
"washingtondc",38.8853496,-77.0386278,0,1977,"1977-03-26",85,20,1,354,354,4,4,67,56,155,5
"washingtondc",38.8853496,-77.0386278,0,1978,"1978-04-12",102,20,5,336,336,8,3,58,88,151,10
"washingtondc",38.8853496,-77.0386278,0,1979,"1979-04-02",92,23,6,342,342,7,3,60,61,150,15
"washingtondc",38.8853496,-77.0386278,0,1980,"1980-04-06",97,8,0,6,NA,4,1,62,55,123,8
"washingtondc",38.8853496,-77.0386278,0,1981,"1981-04-03",93,10,1,352,352,6,6,60,54,150,5
"washingtondc",38.8853496,-77.0386278,0,1982,"1982-04-07",97,14,0,11,NA,6,6,48,43,159,11
"washingtondc",38.8853496,-77.0386278,0,1983,"1983-04-07",97,3,1,355,355,2,2,59,50,150,7
"washingtondc",38.8853496,-77.0386278,0,1984,"1984-04-03",94,8,1,347,347,4,4,54,44,147,7
"washingtondc",38.8853496,-77.0386278,0,1985,"1985-04-07",97,13,5,355,355,3,2,74,48,142,9
"washingtondc",38.8853496,-77.0386278,0,1986,"1986-04-02",92,10,1,343,343,3,3,83,31,139,11
"washingtondc",38.8853496,-77.0386278,0,1987,"1987-03-28",87,6,3,350,350,3,3,69,63,165,12
"washingtondc",38.8853496,-77.0386278,0,1988,"1988-03-31",91,5,0,7,NA,2,2,66,30,166,5
"washingtondc",38.8853496,-77.0386278,0,1989,"1989-03-29",88,3,0,66,NA,3,0,57,32,125,11
"washingtondc",38.8853496,-77.0386278,0,1990,"1990-03-15",74,4,2,347,347,2,0,73,18,133,9
"washingtondc",38.8853496,-77.0386278,0,1991,"1991-03-29",88,11,10,343,343,4,1,80,25,136,10
"washingtondc",38.8853496,-77.0386278,0,1992,"1992-04-07",98,2,0,17,NA,1,1,71,16,143,9
"washingtondc",38.8853496,-77.0386278,0,1993,"1993-04-11",101,7,1,351,351,2,1,52,39,149,8
"washingtondc",38.8853496,-77.0386278,0,1994,"1994-04-05",95,9,0,10,NA,4,4,62,42,147,14
"washingtondc",38.8853496,-77.0386278,0,1995,"1995-04-02",92,6,3,362,362,2,0,75,39,137,10
"washingtondc",38.8853496,-77.0386278,0,1996,"1996-04-04",95,17,0,7,NA,6,6,19,57,115,14
"washingtondc",38.8853496,-77.0386278,0,1997,"1997-03-26",85,7,NA,12,NA,3,3,54,20,112,8
"washingtondc",38.8853496,-77.0386278,0,1998,"1998-03-27",86,0,0,NA,NA,0,0,62,37,143,13
"washingtondc",38.8853496,-77.0386278,0,1999,"1999-04-05",95,3,0,1,NA,1,1,70,53,166,8
"washingtondc",38.8853496,-77.0386278,0,2000,"2000-03-17",77,10,1,358,358,3,3,84,51,140,10
"washingtondc",38.8853496,-77.0386278,0,2001,"2001-04-06",96,1,0,54,NA,1,0,74,43,165,7
"washingtondc",38.8853496,-77.0386278,0,2002,"2002-04-02",92,5,5,356,356,2,NA,63,24,58,NA
"washingtondc",38.8853496,-77.0386278,0,2003,"2003-04-02",92,10,NA,17,NA,3,3,19,54,91,9
"washingtondc",38.8853496,-77.0386278,0,2004,"2004-03-31",91,15,2,338,338,5,5,69,57,136,8
"washingtondc",38.8853496,-77.0386278,0,2005,"2005-04-09",99,8,0,18,NA,4,4,62,26,129,14
"washingtondc",38.8853496,-77.0386278,0,2006,"2006-03-30",89,1,1,356,356,1,0,78,18,120,5
"washingtondc",38.8853496,-77.0386278,0,2007,"2007-04-01",91,9,1,349,349,4,1,59,37,136,9
"washingtondc",38.8853496,-77.0386278,0,2008,"2008-03-26",86,4,0,4,NA,2,2,79,27,132,7
"washingtondc",38.8853496,-77.0386278,0,2009,"2009-04-01",91,8,1,340,340,3,3,74,55,131,7
"washingtondc",38.8853496,-77.0386278,0,2010,"2010-03-31",90,7,1,358,358,2,2,76,38,123,8
"washingtondc",38.8853496,-77.0386278,0,2011,"2011-03-29",88,3,1,354,354,2,2,73,28,130,7
"washingtondc",38.8853496,-77.0386278,0,2012,"2012-03-20",80,3,3,349,349,1,0,82,33,127,9
"washingtondc",38.8853496,-77.0386278,0,2013,"2013-04-09",99,5,0,23,NA,4,4,68,27,138,9
"washingtondc",38.8853496,-77.0386278,0,2014,"2014-04-10",100,11,0,4,NA,3,3,70,26,139,8
"washingtondc",38.8853496,-77.0386278,0,2015,"2015-04-10",100,11,0,7,NA,3,3,73,51,136,15
"washingtondc",38.8853496,-77.0386278,0,2016,"2016-03-25",85,8,0,14,NA,3,3,83,22,122,5
"washingtondc",38.8853496,-77.0386278,0,2017,"2017-03-25",84,3,0,8,NA,3,3,101,18,103,14
"washingtondc",38.8853496,-77.0386278,0,2018,"2018-04-05",95,9,2,351,351,4,4,68,27,130,9
"washingtondc",38.8853496,-77.0386278,0,2019,"2019-04-01",91,7,3,350,350,2,1,71,28,138,10
"washingtondc",38.8853496,-77.0386278,0,2020,"2020-03-20",80,0,0,NA,NA,0,0,71,19,122,8
"washingtondc",38.8853496,-77.0386278,0,2021,"2021-03-28",87,3,0,44,NA,2,0,75,59,120,7
"liestal",47.4814,7.730519,350,1951,"1951-04-18",108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"liestal",47.4814,7.730519,350,1952,"1952-04-11",102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"liestal",47.4814,7.730519,350,1953,"1953-04-06",96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"liestal",47.4814,7.730519,350,1954,"1954-04-26",116,21,NA,1,NA,9,9,20,56,147,14
"liestal",47.4814,7.730519,350,1955,"1955-04-26",116,8,0,2,NA,4,4,29,40,165,14
"liestal",47.4814,7.730519,350,1956,"1956-04-27",118,26,0,332,NA,9,0,25,44,167,20
"liestal",47.4814,7.730519,350,1957,"1957-03-25",84,11,0,327,NA,8,8,34,33,149,14
"liestal",47.4814,7.730519,350,1958,"1958-04-25",115,7,4,359,359,3,1,24,58,178,14
"liestal",47.4814,7.730519,350,1959,"1959-04-02",92,3,1,362,362,1,1,34,70,145,14
"liestal",47.4814,7.730519,350,1960,"1960-04-03",94,15,4,337,337,9,9,41,35,162,14
"liestal",47.4814,7.730519,350,1961,"1961-03-20",79,3,0,15,NA,2,2,25,42,132,17
"liestal",47.4814,7.730519,350,1962,"1962-04-25",115,4,1,359,359,3,2,44,42,160,15
"liestal",47.4814,7.730519,350,1963,"1963-04-24",114,41,7,351,351,18,18,30,108,159,15
"liestal",47.4814,7.730519,350,1964,"1964-04-16",107,24,13,337,337,7,6,26,65,151,3
"liestal",47.4814,7.730519,350,1965,"1965-04-12",102,19,12,348,348,12,1,24,79,158,20
"liestal",47.4814,7.730519,350,1966,"1966-04-08",98,17,4,362,362,12,12,14,31,148,11
"liestal",47.4814,7.730519,350,1967,"1967-04-04",94,5,0,7,NA,5,5,35,25,158,13
"liestal",47.4814,7.730519,350,1968,"1968-04-12",103,4,0,10,NA,4,4,42,102,165,20
"liestal",47.4814,7.730519,350,1969,"1969-04-23",113,18,7,342,342,6,2,23,91,160,12
"liestal",47.4814,7.730519,350,1970,"1970-04-24",114,10,5,347,347,3,2,28,60,164,10
"liestal",47.4814,7.730519,350,1971,"1971-04-17",107,31,16,340,340,8,8,41,51,163,9
"liestal",47.4814,7.730519,350,1972,"1972-04-06",97,10,7,358,358,6,2,31,81,166,9
"liestal",47.4814,7.730519,350,1973,"1973-04-29",119,6,0,1,NA,2,2,11,93,190,12
"liestal",47.4814,7.730519,350,1974,"1974-04-02",92,7,7,352,352,3,0,31,32,163,18
"liestal",47.4814,7.730519,350,1975,"1975-04-18",108,4,4,335,335,3,0,21,31,181,19
"liestal",47.4814,7.730519,350,1976,"1976-04-11",102,8,0,328,NA,7,5,33,35,165,21
"liestal",47.4814,7.730519,350,1977,"1977-03-21",80,5,3,353,353,2,1,19,48,137,21
"liestal",47.4814,7.730519,350,1978,"1978-04-18",108,15,8,350,350,5,2,19,71,156,20
"liestal",47.4814,7.730519,350,1979,"1979-04-15",105,14,2,335,335,6,6,22,52,161,22
"liestal",47.4814,7.730519,350,1980,"1980-04-13",104,16,7,337,337,9,9,26,45,159,14
"liestal",47.4814,7.730519,350,1981,"1981-04-02",92,9,0,8,NA,4,4,37,76,154,19
"liestal",47.4814,7.730519,350,1982,"1982-04-18",108,10,5,337,337,3,2,21,82,175,18
"liestal",47.4814,7.730519,350,1983,"1983-04-11",101,3,3,353,353,2,0,29,41,138,20
"liestal",47.4814,7.730519,350,1984,"1984-04-19",110,0,0,NA,NA,0,0,35,50,171,27
"liestal",47.4814,7.730519,350,1985,"1985-04-16",106,24,3,337,337,16,16,22,35,151,22
"liestal",47.4814,7.730519,350,1986,"1986-05-01",121,24,0,323,NA,8,1,32,59,172,25
"liestal",47.4814,7.730519,350,1987,"1987-04-22",112,21,1,365,365,13,13,42,57,155,15
"liestal",47.4814,7.730519,350,1988,"1988-04-17",108,2,2,358,358,2,0,28,35,139,20
"liestal",47.4814,7.730519,350,1989,"1989-03-28",87,4,2,343,343,2,0,25,49,142,9
"liestal",47.4814,7.730519,350,1990,"1990-03-16",75,1,0,14,NA,1,1,34,70,147,12
"liestal",47.4814,7.730519,350,1991,"1991-04-04",94,14,1,337,337,4,2,34,50,132,12
"liestal",47.4814,7.730519,350,1992,"1992-04-11",102,6,2,341,341,2,2,32,29,158,7
"liestal",47.4814,7.730519,350,1993,"1993-04-11",101,11,6,344,344,6,4,30,51,148,13
"liestal",47.4814,7.730519,350,1994,"1994-03-23",82,11,4,362,362,3,2,21,28,131,19
"liestal",47.4814,7.730519,350,1995,"1995-04-03",93,6,0,4,NA,5,5,24,26,126,22
"liestal",47.4814,7.730519,350,1996,"1996-04-18",109,2,0,36,NA,2,0,34,94,141,4
"liestal",47.4814,7.730519,350,1997,"1997-03-22",81,14,2,362,362,8,8,18,60,149,11
"liestal",47.4814,7.730519,350,1998,"1998-03-31",90,8,7,360,360,7,1,47,33,138,14
"liestal",47.4814,7.730519,350,1999,"1999-04-04",94,7,0,326,NA,3,1,23,43,141,13
"liestal",47.4814,7.730519,350,2000,"2000-04-01",92,4,1,343,343,3,3,38,49,144,12
"liestal",47.4814,7.730519,350,2001,"2001-03-30",89,1,1,356,356,1,0,27,34,131,20
"liestal",47.4814,7.730519,350,2002,"2002-03-18",77,6,0,4,NA,4,4,36,23,131,9
"liestal",47.4814,7.730519,350,2003,"2003-04-02",92,16,3,348,348,7,7,42,57,133,20
"liestal",47.4814,7.730519,350,2004,"2004-04-01",92,3,1,345,345,2,2,36,58,152,22
"liestal",47.4814,7.730519,350,2005,"2005-04-05",95,9,0,25,NA,6,6,36,35,142,16
"liestal",47.4814,7.730519,350,2006,"2006-04-21",111,16,2,356,356,5,5,38,99,155,8
"liestal",47.4814,7.730519,350,2007,"2007-04-04",94,6,3,362,362,3,3,56,31,129,20
"liestal",47.4814,7.730519,350,2008,"2008-03-29",89,1,0,2,NA,1,1,23,34,155,17
"liestal",47.4814,7.730519,350,2009,"2009-04-10",100,17,6,352,352,10,10,34,70,155,6
"liestal",47.4814,7.730519,350,2010,"2010-04-08",98,16,1,365,365,6,4,42,59,148,18
"liestal",47.4814,7.730519,350,2011,"2011-03-31",90,10,6,349,349,6,2,44,57,144,15
"liestal",47.4814,7.730519,350,2012,"2012-04-02",93,22,9,335,335,13,0,50,32,155,22
"liestal",47.4814,7.730519,350,2013,"2013-04-17",107,8,0,17,NA,3,2,37,35,146,19
"liestal",47.4814,7.730519,350,2014,"2014-03-25",84,1,1,347,347,1,0,45,66,143,19
"liestal",47.4814,7.730519,350,2015,"2015-04-11",101,0,0,NA,NA,0,NA,39,31,41,NA
"liestal",47.4814,7.730519,350,2016,"2016-04-06",97,1,1,363,363,1,NA,0,13,25,NA
"liestal",47.4814,7.730519,350,2017,"2017-03-26",85,13,NA,6,NA,11,11,37,54,138,15
"liestal",47.4814,7.730519,350,2018,"2018-04-08",98,5,0,57,NA,5,0,49,38,150,17
"liestal",47.4814,7.730519,350,2019,"2019-03-27",86,0,0,NA,NA,0,0,50,68,159,18
"liestal",47.4814,7.730519,350,2020,"2020-03-17",77,0,0,NA,NA,0,0,54,31,135,11
"liestal",47.4814,7.730519,350,2021,"2021-03-28",87,5,0,16,NA,4,1,33,42,157,18
"kyoto",35.0119831,135.6761135,44,1951,"1951-04-08",98,0,NA,NA,NA,0,0,9,42,84,10
"kyoto",35.0119831,135.6761135,44,1952,"1952-04-14",105,0,NA,NA,NA,0,0,75,79,107,19
"kyoto",35.0119831,135.6761135,44,1953,"1953-04-11",101,0,0,NA,NA,0,0,71,43,128,14
"kyoto",35.0119831,135.6761135,44,1954,"1954-04-08",98,0,0,NA,NA,0,0,90,26,117,18
"kyoto",35.0119831,135.6761135,44,1955,"1955-04-07",97,0,0,NA,NA,0,0,75,50,105,17
"kyoto",35.0119831,135.6761135,44,1956,"1956-04-08",99,0,0,NA,NA,0,0,69,61,131,13
"kyoto",35.0119831,135.6761135,44,1957,"1957-04-13",103,0,0,NA,NA,0,0,77,39,138,15
"kyoto",35.0119831,135.6761135,44,1958,"1958-04-09",99,0,0,NA,NA,0,0,82,26,124,14
"kyoto",35.0119831,135.6761135,44,1959,"1959-04-02",92,0,0,NA,NA,0,0,68,26,112,10
"kyoto",35.0119831,135.6761135,44,1960,"1960-04-04",95,0,0,NA,NA,0,0,79,43,116,8
"kyoto",35.0119831,135.6761135,44,1961,"1961-04-09",99,0,0,NA,NA,0,0,83,65,120,15
"kyoto",35.0119831,135.6761135,44,1962,"1962-04-12",102,0,0,NA,NA,0,0,72,41,122,15
"kyoto",35.0119831,135.6761135,44,1963,"1963-04-11",101,0,0,NA,NA,0,0,80,77,128,11
"kyoto",35.0119831,135.6761135,44,1964,"1964-04-08",99,0,0,NA,NA,0,0,86,29,124,15
"kyoto",35.0119831,135.6761135,44,1965,"1965-04-20",110,0,0,NA,NA,0,0,56,38,142,15
"kyoto",35.0119831,135.6761135,44,1966,"1966-04-07",97,0,0,NA,NA,0,0,75,52,123,10
"kyoto",35.0119831,135.6761135,44,1967,"1967-04-07",97,0,0,NA,NA,0,0,83,27,120,14
"kyoto",35.0119831,135.6761135,44,1968,"1968-04-08",99,0,0,NA,NA,0,0,73,67,127,5
"kyoto",35.0119831,135.6761135,44,1969,"1969-04-11",101,0,0,NA,NA,0,0,74,31,127,8
"kyoto",35.0119831,135.6761135,44,1970,"1970-04-17",107,0,0,NA,NA,0,0,74,51,119,2
"kyoto",35.0119831,135.6761135,44,1971,"1971-04-08",98,0,0,NA,NA,0,0,75,24,120,8
"kyoto",35.0119831,135.6761135,44,1972,"1972-04-08",99,0,0,NA,NA,0,0,76,31,110,16
"kyoto",35.0119831,135.6761135,44,1973,"1973-04-07",97,0,0,NA,NA,0,0,89,14,112,15
"kyoto",35.0119831,135.6761135,44,1974,"1974-04-09",99,0,0,NA,NA,0,0,73,63,125,4
"kyoto",35.0119831,135.6761135,44,1975,"1975-04-10",100,0,0,NA,NA,0,0,66,31,130,8
"kyoto",35.0119831,135.6761135,44,1976,"1976-04-08",99,0,0,NA,NA,0,0,70,41,113,4
"kyoto",35.0119831,135.6761135,44,1977,"1977-04-03",93,0,0,NA,NA,0,0,72,65,121,6
"kyoto",35.0119831,135.6761135,44,1978,"1978-04-14",104,0,0,NA,NA,0,0,81,26,117,8
"kyoto",35.0119831,135.6761135,44,1979,"1979-04-07",97,0,0,NA,NA,0,0,75,32,104,8
"kyoto",35.0119831,135.6761135,44,1980,"1980-04-11",102,0,0,NA,NA,0,0,79,28,121,12
"kyoto",35.0119831,135.6761135,44,1981,"1981-04-09",99,0,0,NA,NA,0,0,66,43,109,3
"kyoto",35.0119831,135.6761135,44,1982,"1982-04-03",93,0,0,NA,NA,0,0,68,38,132,10
"kyoto",35.0119831,135.6761135,44,1983,"1983-04-09",99,0,0,NA,NA,0,0,77,27,110,6
"kyoto",35.0119831,135.6761135,44,1984,"1984-04-18",109,0,0,NA,NA,0,0,65,61,129,10
"kyoto",35.0119831,135.6761135,44,1985,"1985-04-09",99,0,0,NA,NA,0,0,73,40,113,5
"kyoto",35.0119831,135.6761135,44,1986,"1986-04-12",102,0,0,NA,NA,0,0,75,70,128,1
"kyoto",35.0119831,135.6761135,44,1987,"1987-04-05",95,0,0,NA,NA,0,0,70,24,119,9
"kyoto",35.0119831,135.6761135,44,1988,"1988-04-15",106,0,0,NA,NA,0,0,74,34,107,8
"kyoto",35.0119831,135.6761135,44,1989,"1989-04-03",93,0,0,NA,NA,0,0,74,16,104,11
"kyoto",35.0119831,135.6761135,44,1990,"1990-03-29",88,0,0,NA,NA,0,0,75,31,86,4
"kyoto",35.0119831,135.6761135,44,1991,"1991-04-07",97,0,0,NA,NA,0,0,76,25,78,7
"kyoto",35.0119831,135.6761135,44,1992,"1992-04-03",94,0,0,NA,NA,0,0,72,5,62,4
"kyoto",35.0119831,135.6761135,44,1993,"1993-04-07",97,0,0,NA,NA,0,0,69,4,55,12
"kyoto",35.0119831,135.6761135,44,1994,"1994-04-09",99,0,0,NA,NA,0,0,78,3,55,2
"kyoto",35.0119831,135.6761135,44,1995,"1995-04-09",99,0,0,NA,NA,0,0,76,3,58,5
"kyoto",35.0119831,135.6761135,44,1996,"1996-04-12",103,0,0,NA,NA,0,0,65,4,68,4
"kyoto",35.0119831,135.6761135,44,1997,"1997-04-07",97,0,0,NA,NA,0,0,67,3,57,3
"kyoto",35.0119831,135.6761135,44,1998,"1998-04-01",91,0,0,NA,NA,0,0,85,4,57,7
"kyoto",35.0119831,135.6761135,44,1999,"1999-04-04",94,0,0,NA,NA,0,0,74,3,54,19
"kyoto",35.0119831,135.6761135,44,2000,"2000-04-09",100,0,0,NA,NA,0,0,72,6,60,9
"kyoto",35.0119831,135.6761135,44,2001,"2001-04-06",96,0,0,NA,NA,0,0,77,4,60,18
"kyoto",35.0119831,135.6761135,44,2002,"2002-04-01",91,0,0,NA,NA,0,0,54,3,54,17
"kyoto",35.0119831,135.6761135,44,2003,"2003-04-08",98,0,0,NA,NA,0,0,66,5,71,7
"kyoto",35.0119831,135.6761135,44,2004,"2004-04-01",92,0,0,NA,NA,0,0,88,5,66,3
"kyoto",35.0119831,135.6761135,44,2005,"2005-04-09",99,0,0,NA,NA,0,NA,64,6,15,NA
"kyoto",35.0119831,135.6761135,44,2006,"2006-04-08",98,0,0,NA,NA,0,0,5,5,57,7
"kyoto",35.0119831,135.6761135,44,2007,"2007-04-07",97,0,NA,NA,NA,0,0,88,4,47,7
"kyoto",35.0119831,135.6761135,44,2008,"2008-04-04",95,0,0,NA,NA,0,0,84,4,63,11
"kyoto",35.0119831,135.6761135,44,2009,"2009-04-05",95,0,0,NA,NA,0,0,84,5,60,11
"kyoto",35.0119831,135.6761135,44,2010,"2010-04-05",95,0,0,NA,NA,0,0,74,4,58,6
"kyoto",35.0119831,135.6761135,44,2011,"2011-04-09",99,0,0,NA,NA,0,0,65,5,71,3
"kyoto",35.0119831,135.6761135,44,2012,"2012-04-10",101,0,0,NA,NA,0,0,81,5,61,7
"kyoto",35.0119831,135.6761135,44,2013,"2013-04-03",93,0,0,NA,NA,0,0,66,3,60,5
"kyoto",35.0119831,135.6761135,44,2014,"2014-04-04",94,0,0,NA,NA,0,0,83,4,59,7
"kyoto",35.0119831,135.6761135,44,2015,"2015-04-03",93,0,0,NA,NA,0,0,85,5,58,16
"kyoto",35.0119831,135.6761135,44,2016,"2016-04-04",95,0,0,NA,NA,0,0,93,5,60,5
"kyoto",35.0119831,135.6761135,44,2017,"2017-04-09",99,0,0,NA,NA,0,0,80,4,56,8
"kyoto",35.0119831,135.6761135,44,2018,"2018-03-30",89,0,0,NA,NA,0,0,77,3,59,9
"kyoto",35.0119831,135.6761135,44,2019,"2019-04-05",95,0,0,NA,NA,0,0,81,4,60,6
"kyoto",35.0119831,135.6761135,44,2020,"2020-04-01",92,0,0,NA,NA,0,0,82,2,41,11
"kyoto",35.0119831,135.6761135,44,2021,"2021-03-26",85,0,0,NA,NA,0,0,91,3,39,7
